include,done,id,class,species,species by,species syn,species syn by,species alt,new name,TCM,historic,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,Taste/Smell,Heat,Major uses,Culinary,Medicinal,pharmaceutical,Pharma en,TCM2,ECMM,Hu zh,Hu en,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Column1,Indonesian,Malay,Persian,Column2
maybe,,grains of paradise,spice,Aframomum melegueta,K.Schum.,,,,,,,https://powo.science.kew.org/taxon/871877-1,,,http://www.theplantlist.org/tpl1.1/record/kew-218399,,,,,637930,Zingiberaceae,Melegueta pepper; grains of paradise; alligator pepper,,,,seed,Trop W Afr,,,,van_wyk_culinary_2014,,,,1,"French Guiana, Guyana, Trinidad-Tobago, Windward Is.",4,,,,,,"peppery, pungent",5,as for pepper; liquors,,,Grana paradisi,,,,,,,,,,,,,,,,,,天堂椒,tiān​táng​jiāo,paradise-pepper,天堂椒; 天堂的種子; 非洲豆蔻; 椒蔻; 畿內亞胡椒; 天堂椒; 樂園籽; 梅萊蓋塔胡椒,,,,,,malagétabors; édenmag; paradicsmag; guineai bors,,,,,,,,,,,
out,,agalloch,,,https://en.wiktionary.org/wiki/agalloch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,agarwood,incense,Aquilaria agallocha,,,,,,,yes,,,,,,,,,,Thymelaeaceae,agar wood; eagle wood,,,,wood,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,agarwood,aloeswood,,,,,,,,,,,,,,,檀木,عود,,,,,,,,,,,,,,,,
out,,aji,,Capsicum baccatum,,,,,,,,,,,,,,,,,Solanaceae,aji; Peruvian pepper,,,,fruit,S Am (Bolivia),,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,ajowan,spice,Trachyspermum ammi,(L.) Sprague,Carum copticum ,(L.) Benth. & Hook.f. ex Hiern,syn also: T. copticum (L.) Link,,,,https://powo.science.kew.org/taxon/849765-1,,,,,,,,,Apiaceae/Umbelliferae,ajowan; ajwain; carom; ajowan caraway; thymol seeds; bishop's weed; omum; omam; white cumin; Ethiopian caraway,,,,fruit,Egypt; Ethiopia,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,almond,,Prunus dulcis,,P. amygdalis,,,,,,,,,,,,,,,Rosaceae,almond,,,,seed,W As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,ambergris,aromatic,"Animalia, from the sperm whale Physeter macrocephalus",L.,,,,,,,,,,,,,,,,Physeteridae,,,,,"waxy, flammable substance from the gastrointestinal tract",cosmopolitan,,,,,,,,,,,,,,grey,"fecal, later sweet",x,perfumery,,,,,,,,,,no,,,Ibn Battuta; Moby Dick,https://www.britannica.com/science/ambergris,ambergris,,sperm whale,,,龙涎香,,龍涎香,lóngxiánxiāng,dragon-saliva-fragrance,https://zh.wikipedia.org/wiki/%E9%BE%8D%E6%B6%8E%E9%A6%99,عنبر,ʿambar,,,ámbra,,,,,,,,,,,,
out,,ammi?,,Ammi majus,,,,,,,,,,,,,,,,,Apiaceae,false bishop’s weed; greater ammi; lady’s lace,,,,fruit,Med; NE Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,naankhawaat,,,,,,,,,,,,,,,,
out,,amomum,spice,Amomum spp.,Roxb.,,,,,,yes,,,,,,,,,,Zingiberaceae,,,,"amomum, black cardamom",,Asia,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,anatto,,Bixa orellana,,,,,,,,,,,,,,,,,Bixaceae,an(n)atto; achiote; roucou,,,,seed,Trop Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,angelica,,Angelica archangelica,,,,,,,,,,,,,,,,,Apiaceae/Umbelliferae,angelica; garden angelica; archangel,,,,root; fruit; stem,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,basil,herb,Ocimum basilicum,,,,,,,,,,,,,,,,,Lamiaceae,sweet basil; basil; common basil lemon basil,,,,leaf,Trop As,,,,van_wyk_culinary_2014,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,bay leaf,herb,Laurus nobilis,L.,,,,,,,,,,,,,,,,Lauraceae,laurel; bay leaf; bay laurel; sweet bay,,,,leaf; frui,Med,,,,van_wyk_culinary_2014,,,,,,1,,,,,,,,,,,,,,,,I 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,bdellium,incense,Commiphora wightii,,,,,,,,,,,,,,,,,,,,,,resin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false myrrh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,bell pepper,vegetable,Capsicum anuum var. Grossum,,,,,,,,,,,,,,,,,Solanaceae,bell pepper; sweet pepper,,,,fruit,C Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,benzoin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://en.wiktionary.org/wiki/%E5%AE%89%E6%81%AF%E9%A6%99#Chinese,,,,,,,,,,,,,,,,,,,,
out,,bergamot,,Monarda spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,Betel pepper,,Piper betel,,,,,,,,,,,,,,,,,Piperaceae,,,,,,,,,,amar_arabian_2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,taanbuul,,,,,,,,,,,,,,,,
out,,black caraway,,Elwendia persica,(Boiss.) Pimenov & Kljuykov,Bunium persicum,Boiss.,,,,,,,,,,,,,,Apiaceae,black caraway; black cumin; black zira,,,blackseed,fruit,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,black mustard,,Brassica nigra ,,,,,,,,,,,,,,,,,Brassicaceae,black mustard,,,,seed,W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,borage,,Borago officinalis,,,,,,,,,,,,,,,,,Boraginaceae,borage,,,,leaf; flower,Med; Eur,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,brown mustard,,Brassica juncea,,,,,,,,,,,,,,,,,Brassicaceae,brown mustard; Chinese mustard; Indian mustard; leaf mustard; mustard green,,,,seed; leaf,C As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,burnet,,Sanguisorba minor and S. officinalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,cacao,commodity,Theobroma cacao,L.,,,,,,,https://powo.science.kew.org/taxon/320783-2,,,,,,,,3641,Malvaceae,cacao,,,,seed (dried and fermented),Amazon basin; S Am (Andes),,,,van_wyk_culinary_2014,,,"Brazil North, Colombia, Costa Rica, Ecuador, French Guiana, Guyana, Peru, Suriname, Venezuela",9,"Andaman Is., Belize, Bolivia, Brazil Northeast, Cameroon, Caroline Is., Cayman Is., Central American Pac, China South-Central, Comoros, Cook Is., Cuba, Dominican Republic, El Salvador, Fiji, Ghana, Guatemala, Guinea, Gulf of Guinea Is., Hainan, Haiti, Honduras, Ivory Coast, Jamaica, Laos, Leeward Is., Marianas, Mexico Southeast, Mexico Southwest, Nicobar Is., Nigeria, Puerto Rico, Seychelles, Society Is., Sri Lanka, Togo, Trinidad-Tobago, Vietnam, Windward Is., Zaïre",40,,,,,,,,,,,,,,,,II 157,,,chocolate; cocoa; cacao,"also must be growing in indonesia!, check faostat; 1520s Hernán Cortés",,cacao,,cacao tree,,,,,,,,,,,,,,,,,,,,,,,,,
out,,camphor,spice; aromatic,Cinnamomum camphora,(L.) J.Presl,,,,,,,https://powo.science.kew.org/taxon/463336-1,,,,,,,,,Lauraceae,camphor,,,,resin/gum?,As; E As,,,,van_wyk_culinary_2014,,,"Japan, Korea, Nansei-shoto, Taiwan",4,"Alabama, Assam, Bangladesh, Cambodia, Caroline Is., China South-Central, China Southeast, East Himalaya, El Salvador, Fiji, Florida, Georgia, Guinea, Gulf of Guinea Is., Hainan, Hawaii, Honduras, Laos, Leeward Is., Louisiana, Marianas, Mauritius, Mississippi, Nepal, New South Wales, Norfolk Is., North Carolina, Pakistan, Queensland, Réunion, Seychelles, South Carolina, Texas, Trinidad-Tobago, Victoria, Vietnam",36,,,,white,,,spice; incense; medicine; insect-repellent,,,,,,,,,I 76,yes,,,C10H16O.,,camphor,,,,,,,樟,zhāng​,camphor [tree],樟腦 zhāng​nǎo,كافور,kāfūr,,,kámfor,,,,,,,,,,,,
out,,caper,,Capparis spinosa,,,,,,,,,,,,,,,,,Capparaceae,capers; caper,,,,flower bud; unripe fruit,Med,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,catnip,,Nepeta cataria,,,,,,,,,,,,,,,,,Lamiaceae,catmint; catnip; lemon catnip,,,,herb,Eur; SW & C As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,celery,,Apium graveolens,,,,,,,,,,,,,,,,,Apiaceae,celery,,,,leaf; seed,Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,celery seed,,Apium graveolens var. dulce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,chervil,,Anthriscus cerefolium,,,,,,,,,,,,,,,,,Apiaceae,chervil; garden chervil; French parsley,,,,leaf,As; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,chicory,,Cichorium intybus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,chile2,,Capsicum frutescens,,,,,,,,https://powo.science.kew.org/taxon/316959-2,,,,,,,,4073,Solanaceae,chilli (pepper); chili (pepper); chile; red chilli; hot pepper; bird chilli; Cayenne pepper; Tabasco pepper; piri piri; chilly,,,,fruit,Central America; South America,,,,van_wyk_culinary_2014,,,"Bolivia, Brazil West-Central",2,"Aldabra, Algeria, Andaman Is., Assam, Bangladesh, Belize, Brazil North, Brazil Northeast, Burundi, Cambodia, Canary Is., Caroline Is., Chad, Christmas I., Colombia, Cook Is., Costa Rica, Cuba, Dominican Republic, East Himalaya, El Salvador, Fiji, French Guiana, Galápagos, Gilbert Is., Guatemala, Guinea, Gulf of Guinea Is., Guyana, Haiti, Hawaii, India, Ivory Coast, Jamaica, Jawa, Kazan-retto, Kenya, KwaZulu-Natal, Leeward Is., Line Is., Madeira, Malawi, Marianas, Marquesas, Marshall Is., Mexico Gulf, Mexico Northeast, Mexico Northwest, Mexico Southeast, Mexico Southwest, Morocco, Mozambique, Mozambique Channel I, Myanmar, Netherlands Antilles, New Caledonia, New Guinea, New South Wales, Niue, Pakistan, Panamá, Philippines, Puerto Rico, Queensland, Rwanda, Samoa, Society Is., Solomon Is., Sri Lanka, Sudan, Suriname, Swaziland, Tanzania, Thailand, Togo, Tonga, Trinidad-Tobago, Tuamotu, Tunisia, Uganda, Venezuela, Venezuelan Antilles, Vietnam, Wake I., West Himalaya, Windward Is., Yemen, Zambia, Zaïre, Zimbabwe",90,,,,red; green,"pungent, fiery",4-10,flavors; analgesic,,,Fructus Capsici acer,,,,,,,yes,,,Capsicum spp.,,chile,,,"辣椒, 椒",,,,辣椒,làjiāo,pungent-pepper,椒 \textit{jiāo},فلفل حار ,fulful hārr,,,csilipaprika,,Cayenne borsé törökbors,,मिर्च; हरी मिर्च; लाल मिर्च,mirch; hari mirch; lal mirch,,,,cabai; cabe; lombok,,,
out,,chives,,Allium schoenoprasum,,,,,,,,,,,,,,,,,Alliaceae,chive; chives,,,,leaves,Med; Eur; As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,cicely,,Myrrhis odorata,,,,,,,,,,,,,,,,,Apiaceae,cicely; sweet cicely; garden myrrh,,,,fresh herb; fruit,Eur,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,coconut,,Cocos nucifera,,,,,,,,,,,,,,,,,Arecaceae,coconut,,,,fruit,Trop As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,coffee,commodity,Coffea arabica,L.,,,,,,,,,,,,,,,,Rubiaceae,coffee; Arabian coffee,,,,seed,NE Afr (Ethiopia),,,,van_wyk_culinary_2014,,,,,,,,,,,,,II 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,costmary,,Tanacetum balsamita,,,,,,,,,,,,,,,,,Asteraceae,alecost; costmary,,,,herb,Eur; C As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,cubeb,spice,Piper cubeba,,Cubeba officinalis,Miq.,,,,,,,,,,,,,,Piperaceae,cubeb pepper; tailed pepper; Java pepper,,,,unripe fruit,Indonesia,,,,van_wyk_culinary_2014,,,,,,,,,,,,,II 103,,,,,,,,,II 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,curry leaf,,Murraya koenigii,,,,,,,,,,,,,,,,,Rutaceae,curry leaf,,,,leaf,Ind; Sri Lanka,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,Ethiopian cardamom,,Aframomum corrorima,,,,,,,,,,,,,,,,,Zingiberaceae,Ethiopian cardamom; korarima,,,,seed,Trop NE Afr,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,filé,,Sassafras albidum,Britannica,,,,,,,,,,,,,,,,Lauraceae,sassafras; filé powder,,,,leaf,N Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,flax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,frankincense,incense,Boswellia sacra,Flück.,B. carteri,Birdw.,et al.?,,,yes,https://powo.science.kew.org/taxon/127065-1,,http://www.theplantlist.org/tpl1.1/record/kew-2680579,,,,,,,Burseraceae,frankincense; olibanum,,,,resin,E. Afr.; S. Ar.,,,,,,,"Oman, Somalia, Yemen",3,,1,,,,,,,incense; ritualistic,,,Olibanum,Frankincense,乳香,,,,II 175,no,,,,,frankincense,,,,,,,乳香,rǔxiāng,breast/suckle-incense,,لبان,lubān,"gum, resin","l-b-n; labaan is breast; libaan is sucking, nursing",tömjén,,,,,,,,,,,صمغ کندر,samgh kundur
out,,galbanum,,Ferula galbaniflua,Boiss. et Buhse.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,II 153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,garlic,,Allium sativum,,,,,,,,,,,,,,,,,Alliaceae,garlic,,,,bulb,C As; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,greater galangal,,Alpinia galanga,,,,,,,,,,,,,,,,,Zingiberaceae,galangal; greater galangal,galingale,,,rhizome,Trop As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,红豆蔻,hóngdòukòu,,,خولنجان,"khūlanjān, khawlanjān",amar_arabian_2017,,,,,,,,,,,,,,
out,,holy basil,herb,Ocimum tenuiflorum,,O. sanctum,,,,,,,,,,,,,,,Lamiaceae,holy basil; sacred basil; Thai basil,,,,leaf; herb,Trop As,,,,van_wyk_culinary_2014,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,horehound,,Marrubium vulgare,,,,,,,,,,,,,,,,,Lamiaceae,horehound; white horehound,,,,leaf,Eur,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,horseradish,,Armoracia rusticana,,,,,,,,,,,,,,,,,Brassicaceae,horseradish,,,,root,As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,hyssop,,Hyssopus officinalis,,,,,,,,,,,,,,,,,Lamiaceae,hyssop,,,,herb,S Eur,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,Indian cassia,,Cinnamomum tamala,(Buch.-Ham.) T.Nees & C.H.Eberm.,,,,,,,,,,,,,,,,Lauraceae,Indian cassia lignea; Indian bark; Malabathri bark,,,"Indian bay leaf, also known as tejpat, tejapatta, Malabar leaf, Indian bark, Indian cassia, or malabathrum",leaf; bark,NE. India; Bangladesh; Nepal; Bhutan; Yunnan,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,Indonesian cassia,,Cinnamomum burmanii,,,,,,,,,,,,,,,,,Lauraceae,Indonesian cassia; Padang cassia; Batavia cassia; Korintje cassia,,,,bark; leaf,Sumatra-Java,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,Japanese star anise,incense,Illicium anisatum,L.,I. religiosum,,,,,,https://powo.science.kew.org/taxon/554492-1,,,,,,,,,Schisandraceae,,,,,leaf,E. Asia,,,,,,,"Japan, Korea, Nansei-shoto, Taiwan",4,,1,,,,,,,incense,none,toxic,,,,,,,II 117,no,,,,,Japanese star anise,,,,,莽草,,莽草,mǎng​cǎo,,,,,,,,,,,,,,,,,,,
out,,Javanese long pepper,,Piper retrofractum,Vahl,,,,,,,https://powo.science.kew.org/taxon/683079-1,https://www.gbif.org/species/3086342,,,,,,,,Piperaceae,Javanese long pepper; Balinese long pepper,,,,fruit,SE As,,,,van_wyk_culinary_2014,,,,,,,,,https://en.wikipedia.org/wiki/Piper_retrofractum,,,!!!!!!!!!!,etymology of cabai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,juniper,,Juniperus communis ,,,,,,,,,,,,,,,,,Cupressaceae,,,,,fruit,As; Eur; N Am,,,,,,,,1,,1,,,,,,,,,,,,,,,,I 53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,kaffir lime leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,kampot pepper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,kashmiri chili,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,lavender,,Lavandula angustifolia,,,,,,,,,,,,,,,,,Lamiaceae,English lavender; lavender; true lavender; common lavender,,,,herb,Med,,,,van_wyk_culinary_2014,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,lemon balm,,Melissa officinalis,,,,,,,,,,,,,,,,,Lamiaceae,lemon balm; sweet balm; melissa,,,,leaf; herb,Med; As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,lemon grass,herb,Cymbopogon citratus,,,,,,,,,,,,,,,,,Poaceae,lemongrass,,,,leaf,Maritime SE Asia; cultigen,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,lemon verbena,,Aloysia citrodora,,Aloysia triphylla,,,,,,,,,,,,,,,Verbenaceae,lemon verbena; vervain; cidron; herb Luisa,,,,leaves,S Am,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,lesser galangal,,Alpinia officinarum,,,,,,,,,,,,,,,,,Zingiberaceae,lesser galangal; small galangal,,,,rhizome,E As; SE As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,liquorice,,Glycyrrhiza glabra,L.,,,,,,,https://powo.science.kew.org/taxon/496941-1,,,,,,,,,Fabaceae/Leguminosae,liquorice; licorice,,,,rhizome,Med; W As; C As,,,,van_wyk_culinary_2014,,,"Afghanistan, Albania, Bulgaria, Central European Rus, China North-Central, Cyprus, East Aegean Is., East European Russia, Greece, Iran, Iraq, Italy, Kazakhstan, Kirgizstan, Krym, Lebanon-Syria, Mongolia, North Caucasus, Pakistan, Palestine, Romania, Sardegna, Saudi Arabia, Sicilia, South European Russi, Tadzhikistan, Transcaucasus, Turkey, Turkmenistan, Ukraine, Uzbekistan, West Siberia, Xinjiang, Yugoslavia",34,"Algeria, Austria, Bangladesh, Cape Provinces, Czechoslovakia, Egypt, France, Hungary, Maldives, New South Wales, Portugal, South Australia, Spain, Switzerland, Victoria",15,,,,,,,,,,,,,,,,II 135,yes,,,,,liquorice,,,,,,,,,,,,,,,igazi édesgyökér,,,,,,,,,,,,
out,,lovage,,Levisticum officinale,,,,,,,,,,,,,,,,,Apiaceae,lovage; garden lovage,,,,herb; root; fruit,Eur; N Am,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,mahleb,,Prunus mahaleb,,,,,,,,,,,,,,,,,Rosaceae,mahaleb; mahaleb cherry; St Lucie cherry,Perfumed cherry,,,fruit; leaf; seed,Eur; As,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,maHlab,,,,,,,,,,,,,,,
out,,mahlebi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,malabathrum,,Cinnamomum malabatrum,https://en.wikipedia.org/wiki/Cinnamomum_malabatrum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,malabathrum,oil,Cinnamomum tamala?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,mango powder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,marjoram,herb,Origanum majorana ,,,,,,,,,,,,,,,,,Lamiaceae,,,,,herb,Med; Turkey ,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,mastic,gum/incense,Pistacia lentiscus,L.,,,,,,,https://powo.science.kew.org/taxon/urn%3Alsid%3Aipni.org%3Anames%3A70253-1,,,,,,,,,Anacardiaceae,mastic; masticha; mistki Chios mastic; lentisc,,,,resin,Med,,,,van_wyk_culinary_2014,,,,,,,,,,,,,,,,,,,,,,II 130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,monshood/wolf's bane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,musk,aromatic,"Animalia, from the musk deer Moschus moschiferus",L.,,,et al.,,,,,,,,,,,,,Moschidae,,,,,gland; glandural secretion,NE. Asia; Siberia; Mongolia; Manchuria; Korea,,,,,,,x,x,x,x,,,,,,,,,,,,,,,,,no,,,,,musk,,musk deer,,,,,麝香,shè​xiāng,musk deer-fragrance,,مسك,misk,,,pézsma,,,,,,,,,,,,
out,,mustard,,Sinapis alba,L.,,,,,,,,,,,,,,,,Brassicaceae,white mustard; yellow mustard; mustard ,,,,seed,Med,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,III 18,,,,,,mustard,,,,,,,,,,,,,,,mustár…,,,,,,,,,,,,
out,,myrrh,incense,Commiphora myrrha,(T.Nees) Engl.,,,,,,,https://powo.science.kew.org/taxon/127741-1,,,,,,,,,Burseraceae,,,,,resin,E. Africa; Arabia,,,,,,,"Djibouti, Eritrea, Ethiopia, Kenya, Oman, Saudi Arabia, Somalia, Yemen",8,,1,,,,,,,,,,Myrrha,Myrrh,沒藥,,,,II 185,no,,,biblical myrrh,,myrrh,,,,,,,沒藥,mò​yào,phonetic-medicine,末藥 mò​yào,مر,murr,,,mirha,,; szomáliai balzsamfa,,,,,,,,,,
out,,myrtle,,Myrtus communis,,,,,,,,,,,,,,,,,Myrtaceae,myrtle; common myrtle,,,,leaf; fruit,Med,,,,van_wyk_culinary_2014,,,,,,1,,,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
