include,done,symp,id,class,desc,species,species by,species syn,species syn by,species alt,POWO,IPNI,TPL,GBIF,TROP,EOL,WFO,NCBI,NCBI id,family,Wyk name,Amar name,Hu name,other name,plant part used,region of origin,country code,lat,lon,source,macroarea,area,native regions,no. of native regions,introduced regions,no. of introduced regions,total regions,spreadability,cultivation,color,usage,TCM,TCM DB,Ayurveda,taste/smell,heat,Major uses,Culinary,Medicinal,Köhler,Wyk,Hu,Words,Notes,Britannica,English,En alt,Plant name,Chinese WN,Chinese Wiki,Chinese simp.,FOC,Chinese,Ch transliteration,Ch literal,Ch alt,Arabic,Ar transliteration,Ar literal,Ar alt,Hungarian,Hu literal,Hu alt,Hu notes,Hindi,Hi transliteration,Hi literal,Hi alt ,Indonesian,Malay,Persian,pharmaceutical,pharma en,TCM name,ECMM,medicinal group,meridian,action,Hu zh,Hu en,Extra
maybe,,yes,areca nut,,,Areca catechu,L.,,,,https://powo.science.kew.org/taxon/664107-1,,,,,,,,,Palmae,,,,"areca seed, betel nut",dried ripe seed,Philippines,,13.0,122.0,,Asia,Philippines,Philippines,1,"Andaman Is., Bangladesh, Bismarck Archipelago, Borneo, Cambodia, Caroline Is., China South-Central, Comoros, Dominican Republic, East Himalaya, Fiji, Hainan, Haiti, India, Jamaica, Jawa, Laos, Leeward Is., Lesser Sunda Is., Malaya, Maldives, Maluku, Marianas, New Guinea, Nicobar Is., Puerto Rico, Santa Cruz Is., Society Is., Solomon Is., Sri Lanka, Sulawesi, Sumatera, Taiwan, Thailand, Trinidad-Tobago, Vanuatu, Vietnam",37,38.0,37.0,,,,,,,,,,,,,,,betel,,,areca nut,betel nut,,,,,,檳榔,bīnláng,,,فوفل,fawfal,,,arékadió,areca-nut,,,,,,,,,,Areca Semen,Areca Seed,,,,,,,,
out,,,Areca Peel,medicine,Dried pericarp of Areca catechu L. (Fam. Palmae),,,,,,https://powo.science.kew.org/taxon/664107-1,,,,,,,,,,,,,,,Philippines,,,,polyu_chinese_2020,Asia,SEA,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,大腹皮,dàfùpí,daai6 fuk1 pei4 ,,,,,,,,,,,,,,,,,Arecae Pericarpium,,,,Qi-regulating medicinal,pungent; slightly warm,"Spleen, Stomach, Large intestine, Small intestine",,,
out,,yes,Areca Seed,medicine,Dried ripe seed of Areca catechu L. (Fam. Palmae),,,,,,https://powo.science.kew.org/taxon/664107-1,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,檳榔,bīnláng,ban1 long4 ,,,,,,,,,,,,,,,,,Arecae Semen,Areca Seed,,,Worm-expelling medicinal,"pungent, bitter; warm","Stomach, Large intestine",,,
in,,yes,asafoetida,spice,,Ferula foetida,(Bunge) Regel,,,\taxonn{Ferula assa-foetida}{L.}; et al.,https://powo.science.kew.org/taxon/842277-1,,http://www.theplantlist.org/tpl1.1/record/kew-2808419,,,,,,371345,Apiaceae/Umbelliferae,"hing, devil’s dung, asant",,,,gum-resin (latex),Iran; W. and C. Asia,IR,35.0,55.0,van_wyk_culinary_2021,Asia,Central Asia,"Afghanistan, Iran, Kazakhstan, Kirgizstan, Pakistan, Tadzhikistan, Turkmenistan, Uzbekistan",8,,1,9.0,0.125,Iran; Afghanistan,from pale yellow to brown,,,,,"pungent, rotten",1,curries; expectorant,,,II 147,138,,,,https://www.britannica.com/topic/asafetida,asafoetida,hing; devil's dung,,"阿魏胶, 阿魏",,阿魏,,阿魏,āwèi,,,حلتیت,ḥiltīt,,,ördöggyökér,devil's root,\textit{aszatgyanta} [asat resin]; \textit{bűzös aszat} [stinking asat],"büdös gyantagyökér; bűzös husáng, bűzös aszat; ördögszar, aszatgyanta, aszandkórógyanta, pálcakórógyanta, aszafetida, bűzaszat , Aszandkóró (növény wiki)!",हींग,hīng,,,,,,"Asafetida, Resina Ferulae",Ferula Resin,阿魏,5,,,,阿魏,Asafetida,Tamil perungayam. There is a saying in Kannada 'ಇಂಗು ತೆಂಗು ಇದ್ದರೆ ಮಂಗನೂ ಅಡಿಗೆ ಮಾಡತ್ತೆ'. This means even a monkey can cook if Asafoetida and coconut is available. Hing is must in Kannada and Marathi brahmin cuisine for sure.
out,,yes,Black Sesame,medicine,Dried ripe seed of Sesamum indicum L. (Fam. Pedaliaceae),Sesamum indicum,L.,,,,https://powo.science.kew.org/taxon/675971-1,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,India,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,黑芝麻,hēizhīmá,hak1 zi1 maa4 ,,,,,,,,,,,,,,,,,Sesami Nigrum Semen,,,,Yin-tonifying medicinal,sweet; neutral,"Liver, Kidney, Large intestine",,,
out,,yes,caoguo,spice,Dried ripe fruit of Amomum tsok-ko Crevost et Lemaire (Fam. Zingiberaceae),Lanxangia tsao-ko,(Crevost & Lemarié) M.F.Newman & Škorničk.,Amomum tsok-ko,Crevost et Lemaire,,https://powo.science.kew.org/taxon/77178198-1,,,,,,,,,Zingiberaceae,,,,,,Yunnan,,25.0,102.0,polyu_chinese_2020,Asia,China (Yunnan) to N. Indo-China,"China South-Central, Laos, Vietnam",3,China Southeast,1,4.0,0.3333333333333333,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,草果,cǎoguǒ,herb-fruit,cou2 gwo2 ,,,,,,,,,,,,,,,,Tsaoko Fructus,,,,Dampness-resolving medicinal,pungent; warm,"Spleen, Stomach",,,
in,,yes,cassia,spice,,Cinnamomum cassia,(L.) J.Presl.,C. aromaticum,Nees,et al.,https://powo.science.kew.org/taxon/463288-1,,http://www.theplantlist.org/tpl1.1/record/kew-2721201,,,,,,119260,Lauraceae,cassia; Chinese cinnamon; Chinese cassia,,,,bark; fruit,Southeast China,Southeast China,22.0,111.0,van_wyk_culinary_2014,Asia,South China; Vietnam,China Southeast,1,"Bangladesh, Cambodia, China South-Central, Guatemala, Hainan, Honduras, India, Laos, Malaya, Myanmar, Sumatera, Taiwan, Thailand, Trinidad-Tobago, Vietnam",15,16.0,15.0,Indonesia; China; Vietnam; Timor-Leste; etc.,reddish brown,,yes,polyu-tcm,,"pungent, cinnamon-like",3,flavor; diarrhea,,,I 77,104,399,,,https://www.britannica.com/topic/cassia-spice,cassia,,,"桂皮, 肉桂, 香桂",,,,肉桂,ròuguì,flesh-cinnamon,,سليخة,salīkha,peel; bark,,kasszia(fahéj),cassia (tree-bark),,,,,,,,,,Cortex Cassiae/Cinnamomi Cortex; Ramulus Cinnamomi,Cassia bark,肉桂; 桂枝,,,,,,,
out,,yes,Cassia Bark,medicine,Dried stem bark of Cinnamomum cassia Presl (Fam. Lauraceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,China South,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,肉桂,ròugùi,juk6 gwai3 ,,,,,,,,,,,,,,,,,Cinnamomi Cortex,,,,Interior-warming medicinal,"pungent, sweet; strongly hot","Liver, Heart, Spleen, Kidney",,,
out,,yes,Chinese Star Anise,medicine,Dried ripe fruit of Illicium verum Hook. f. (Fam. Magnoliaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,八角茴香,bājiǎohúixiāng,baat3 gok3 ? hoeng1 ,,,,,,,,,,,,,,,,,Anisi Stellati Fructus,,,,Interior-warming medicinal,pungent; warm,"Liver, Kidney, Spleen, Stomach",,,
in,,yes,clove,spice,Dried flower bud,Syzygium aromaticum,(L.) Merr. \& L.M.Perry,Eugenia aromatica,(L.) Baill.,syn \taxonn{Eugenia cayophyllata}{Thunb.},https://powo.science.kew.org/taxon/601421-1,,http://www.theplantlist.org/tpl1.1/record/kew-199236,,,,,,219868,Myrtaceae,clove(s),,,,flower buds,Moluccas (Indonesia),Ternate and Tidore,0.0,127.0,van_wyk_culinary_2030,Asia,Indonesia,Maluku,1,"Borneo, Caroline Is., Comoros, Gulf of Guinea Is., Madagascar, Nicobar Is., Seychelles, Tanzania, Trinidad-Tobago",9,10.0,9.0,"Indonesia, Malaysia, Tanzania","rich, reddish brown",,yes,,,"sweet, pungent, astringent",5,"meats, sauces; anesthetic",,,II 125,266,,,,https://www.britannica.com/plant/clove,clove,,clove tree,丁香,,丁香,,丁香,dīngxiāng,nail-spice,ding1 hoeng1 ,قرنفل,qaranful,,,szegfűszeg,nail-grass-nail,,,,,,,,,,Fructus Caryophylli; Flos Caryophylli; Caryophylli Flos,Clove,丁香,905; 1639; 1640,Interior-warming medicinal,pungent; warm,"Spleen, Stomach, Lung, Kidney",母丁香; 丁香 (雄丁香),Clove (fruit),
out,,yes,dragon's blood,medicine,Prepared resin of the fruit of Daemonorops draco Bl. (Fam. Palmae),Calamus draco,Willb.,,,,https://powo.science.kew.org/taxon/665061-1,,,,,,,,,Arecaceae,,,,,resin,Sumatra,,-1.0,101.0,,Asia,Indonesia,Sumatera,1,,1,2.0,1.0,,blood red,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,血竭,xiějié,hyut3 kit3 ,,,,,,,,,,,,,,,,,Draconis Sanguis,,,,Blood-activating trauma-curing medicinal,"sweet, salty; neutral","Liver, Heart",,,
in,,yes,fennel,spice; herb; vegetable,Dried ripe fruit of Foeniculum vulgare Mill. (Fam. Umbelliferae),Foeniculum vulgare,Mill.,,,,https://powo.science.kew.org/taxon/842680-1,,http://www.theplantlist.org/tpl1.1/record/kew-2813604,,,,,,2849586,Apiaceae/Umbelliferae,fennel,,,,fruit; leaf,Mediterranean; W. Asia; India,,29.0,42.0,van_wyk_culinary_2022,Med.; W. Asia,Mediterranean; W. Asia,"Afghanistan, Albania, Algeria, Azores, Baleares, Bulgaria, Canary Is., Cape Verde, Corse, Cyprus, East Aegean Is., Egypt, Eritrea, Ethiopia, France, Greece, Gulf States, Iran, Iraq, Italy, Kriti, Lebanon-Syria, Libya, Madeira, Morocco, Nepal, North Caucasus, Pakistan, Palestine, Portugal, Sardegna, Saudi Arabia, Sicilia, Sinai, Spain, Tadzhikistan, Transcaucasus, Tunisia, Turkey, Turkey-in-Europe, Turkmenistan, Uzbekistan, West Himalaya, Yemen, Yugoslavia",45,"Alberta, Amsterdam-St.Paul Is, Angola, Argentina Northeast, Argentina Northwest, Argentina South, Arizona, Assam, Austria, Bahamas, Bangladesh, Belgium, Bermuda, Brazil South, Brazil Southeast, British Columbia, California, Cape Provinces, Central European Rus, Chile Central, Chile North, Chile South, China North-Central, China South-Central, China Southeast, Colombia, Connecticut, Costa Rica, Cuba, Czechoslovakia, Delaware, Denmark, Djibouti, Dominican Republic, East Himalaya, Ecuador, El Salvador, Fiji, Finland, Florida, Georgia, Germany, Great Britain, Guatemala, Gulf of Guinea Is., Haiti, Hawaii, Hungary, Illinois, India, Iowa, Ireland, Jamaica, Jawa, Juan Fernández Is., Kansas, Kazakhstan, Kentucky, Kenya, Korea, Krym, KwaZulu-Natal, Leeward Is., Lesotho, Louisiana, Maine, Marianas, Maryland, Massachusetts, Mauritius, Mexico Northwest, Michigan, Mississippi, Missouri, Mongolia, Mozambique, Myanmar, Nebraska, Netherlands, Nevada, New Jersey, New Mexico, New York, New Zealand North, New Zealand South, Niue, Norfolk Is., North Carolina, Northern Provinces, Norway, Ohio, Ontario, Oregon, Paraguay, Pennsylvania, Peru, Poland, Puerto Rico, Québec, Rhode I., Rodrigues, Romania, Réunion, Society Is., Somalia, South Carolina, South European Russi, St.Helena, Sudan, Sweden, Switzerland, Tanzania, Tennessee, Texas, Thailand, Ukraine, Uruguay, Utah, Vietnam, Virginia, Washington, West Virginia, Windward Is., Wisconsin, Zimbabwe",125,170.0,2.7777777777777777,"Argentina, Bulgaria, Germany, Greece, India, Lebanon",light green to light brown,,yes,,,"licorice-like, warm",1,"fish, breads, sausages; colic",,,II 88,,,,"Macaronesia, Medit. to Ethiopia and W. Nepal.",https://www.britannica.com/plant/fennel,fennel,,,"八角茴香, 大茴香, 茴香",茴香,茴香,,茴香,huíxiāng,hui-spice,小茴香 xiǎohúixiāng,شمر,shamar,,,édeskömény,sweet-cumin,\textit{ánizskapor} [anise-dill],,सौंफ़,saunf,fennel,,adas,,رازیانه، بادیانه، بادیان,Fructus Foeniculi; Foeniculi Fructus,Fennel,小茴香,458; 537; 563,Interior-warming medicinal,pungent; warm,"Liver, Spleen, Kidney, Stomach",小茴香 (小茴)； 槐香 (茴香); 茴香 (小茴香) ,Fennel,
out,,yes,frankincense,incense,Dired resin of the bark of Bowswellia carterii Birdwood or several other species of the same genus (Fam. Burseraceae),Boswellia sacra,Flück.,B. carteri,Birdw.,et al.?,https://powo.science.kew.org/taxon/127065-1,,http://www.theplantlist.org/tpl1.1/record/kew-2680579,,,,,,,Burseraceae,frankincense; olibanum,,,,resin,E. Afr.; S. Ar.,,21.0,56.0,,,,"Oman, Somalia, Yemen",3,,1,,,,,,yes,polyu-tcm,,,,incense; ritualistic,,,II 175,no,,,,,frankincense,,,,,,,乳香,rǔxiāng,breast/suckle-incense,jyu5 hoeng1 ,لبان,lubān,"gum, resin","l-b-n; labaan is breast; libaan is sucking, nursing",tömjén,,,,,,,,,,صمغ کندر,Olibanum,Frankincense,乳香,,Blood-activating analgesic medicinal,"pungent, bitter; warm","Liver, Heart, Spleen",,,samgh kundur
out,,yes,Fresh Ginger,medicine,Fresh rhizome of Zingiber officinale (Willd.) Rosc. (Fam. Zingiberaceae),Zingiber officinale,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,生薑,shēngjiāng,sang1 saang1 goeng1 ,,,,,,,,,,,,,,,,,Zingiberis Rhizoma Recens,,,,Wind-cold-dispersing medicinal,pungent; slightly warm,"Spleen, Lung, Stomach",,,
out,,yes,Galangal Fruit,medicine,Dried ripe fruit of Alpinia galanga Willd. (Fam. Zingiberaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,紅豆蔻,hóngdòukòu,hung4 dau6 dau2 kau3 ,,,,,,,,,,,,,,,,,Galangae Fructus,,,,Dampness-resolving medicinal,pungent; warm,"Spleen, Lung",,,
in,,yes,ginger,spice,,Zingiber officinale,Roscoe,,,,https://powo.science.kew.org/taxon/798372-1,,http://www.theplantlist.org/tpl1.1/record/kew-273361,,,,,,94328,Zingiberaceae,ginger; common ginger,,,,rhizome,South East Asia; India (secondary),,24.0,95.0,van_wyk_culinary_2014,Asia,Southeast Asia,"Assam, China South-Central, East Himalaya, India",4,"Andaman Is., Bangladesh, Borneo, Cambodia, Caroline Is., China Southeast, Comoros, Costa Rica, Cuba, Dominican Republic, Gulf of Guinea Is., Hainan, Haiti, Honduras, Leeward Is., Lesser Sunda Is., Madagascar, Malaya, Mauritius, Mexico Southwest, Myanmar, New Guinea, Nicobar Is., Philippines, Puerto Rico, Queensland, Rodrigues, Réunion, Solomon Is., Sri Lanka, Taiwan, Thailand, Trinidad-Tobago, Vietnam, Windward Is.",35,39.0,8.75,"India, Jamaica, Nigeria, Sierra Leone","light yellow when fresh, beige when powdered",,yes,polyu-tcm,,"fiery, pungent",7,Asian cooking; anti-emetic,,,II 172,,,,,https://www.britannica.com/plant/ginger,ginger,,common ginger (plant),姜,,姜,,薑,jiāng,,,زنجبيل,zanjabīl,,,gyömbér,,,,,,,,,,,Rhizoma Zingiberis ,Zingiber (Dried Ginger),乾薑,,,,,,,
out,,yes,Katsumada Galangal Seed,medicine,Dried almost ripe seed of Alpinia katsumadai Hayata (Fam. Zingiberaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,草豆蔻,cǎodòukòu,cou2 dau6 dau2 kau3 ,,,,,,,,,,,,,,,,,Alpiniae Katsumdai Semen,,,,Dampness-resolving medicinal,pungent; warm,"Spleen, Stomach",,,
out,,yes,Lesser Galangal Rhizome,medicine,Dried rhizome of Alpinia officinarum Hance (Fam. Zingiberaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,高良薑,gāoliángjiāng,gou1 loeng4 goeng1 ,,,,,,,,,,,,,,,,,Alpiniae Officinarum Rhizoma,,,,Interior-warming medicinal,pungent; hot,"Spleen, Stomach",,,
out,,yes,Liquorice Root,medicine,"Dried root and rhizome of Glycyrrhiza uralensis Fish., Glycyrrhiza inflata Bat. or Glycyrrhiza glabra L. (Fam. Leguminosae)",,,,,,https://powo.science.kew.org/taxon/496974-1,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,甘草,gāncǎo,gam1 cou2 ,,,,,,,,,,,,,,,,,Glycyrrhizae Radix et Rhizoma,,,,Qi-tonifying medicinal,sweet; neutral,"Heart, Spleen, Lung, Stomach",,,
in,,yes,long pepper,spice,Dried nearly ripe fruit-spike of Piper longum L. (Fam. Piperaceae),Piper longum,L.,,,\taxonn{P. retrofactum}{Vahl},https://powo.science.kew.org/taxon/682031-1,,http://www.theplantlist.org/tpl1.1/record/kew-2568895,,,,,,49511,Piperaceae,Indian long pepper; pippali; pipalli,,,,fruit,E. Himalaya to S. China; Indo-China,,23.0,80.0,van_wyk_culinary_2028,Asia,India,"Assam, Bangladesh, Cambodia, China South-Central, East Himalaya, Laos, Myanmar, Nicobar Is., Thailand, Vietnam",10,"China Southeast, Hainan, India, Malaya, Nepal, Philippines, Sri Lanka",7,17.0,0.7,"India, Indonesia, Thailand","dreen to red when ripe, dark brown when dried",,yes,,,,,,,,,,,,,,long pepper,,,,,,,蓽撥,bìbō,,,دارفلفل,dārfilfil,,,hosszú bors,long-pepper,,,,,,,,,,Fructus Piperis Longi; Piperis Longi Fructus,Long Pepper,蓽苃,,Interior-warming medicinal,bitter; hot,"Stomach, Large intestine",,,
in,,yes,mace,spice,,Myristica fragrans,Houtt.,,,,https://powo.science.kew.org/taxon/586076-1,,http://www.theplantlist.org/tpl1.1/record/kew-2500629,,,,,,51089,Myristicaceae,mace,,,,aril,Moluccas (Indonesia),Banda Islands,-6.0,130.0,van_wyk_culinary_2025,Asia,Indonesia,Maluku,1,"Assam, Bangladesh, China South-Central, China Southeast, Comoros, Gulf of Guinea Is., Jawa, Laos, Mauritius, Philippines, Réunion, Taiwan, Thailand, Vietnam",14,15.0,14.0,"Grenada, Indonesia","crimson red aril whn fresh, pale yellow when dried",,,,,"sweet, warm, nutty",1,"desserts, eggnog; diahrrhea",,,II 132,,,,,https://www.britannica.com/topic/mace-spice,mace,,,肉豆蔻,,肉豆蔻,,肉豆蔻皮,ròudòukòupí,flesh-bean-cardamom-skin,,بسباسة,basbāsa,,{قشرة جوز الطيب} \textit{qishrat jawz al-ṭīb} [the peel of the fragrant nut],szerecsendió-virág,Saracen nut flower,,,,,,,,,,Arillus Myristicae,Nutmeg,肉豆蔻,,,,,,,
out,,yes,myrrh,incense,Dried resin of Commiphora myrrha Engler (C. molmol Engler) or several other species of the same genus (Fam. Burseraceae),Commiphora myrrha,(T.Nees) Engl.,,,,https://powo.science.kew.org/taxon/127741-1,,,,,,,,,Burseraceae,,,,,resin,E. Africa; Arabia,,12.0,42.0,polyu_chinese_2020,,,"Djibouti, Eritrea, Ethiopia, Kenya, Oman, Saudi Arabia, Somalia, Yemen",8,,1,,,,,,yes,polyu-tcm,,,,,,,II 185,no,,,biblical myrrh,,myrrh,,,,,,,沒藥,mò​yào,phonetic-medicine,末藥 mò​yào,مر,murr,,,mirha,,; szomáliai balzsamfa,,,,,,,,,Myrrha,Myrrh,沒藥,,Blood-activating analgesic medicinal,"pungent, bitter; neutral","Liver, Heart, Spleen",,,
in,,yes,nutmeg,spice,Dried kernel of Myristica fragrans Houtt. (Fam. Myrisyicaceae),Myristica fragrans,Houtt.,,,,https://powo.science.kew.org/taxon/586076-1,,http://www.theplantlist.org/tpl1.1/record/kew-2500629,,,,,,51089,Myristicaceae,nutmeg,,,,seed,Moluccas (Indonesia),Banda Islands,-4.0,129.0,van_wyk_culinary_2025,Asia,Indonesia,Maluku,1,"Assam, Bangladesh, China South-Central, China Southeast, Comoros, Gulf of Guinea Is., Jawa, Laos, Mauritius, Philippines, Réunion, Taiwan, Thailand, Vietnam",14,15.0,14.0,"Grenada, Indonesia","pale brown nut, dark when powdered",,yes,polyu-tcm,,"sweet, warm, nutty",1,"desserts, eggnog; diahrrhea",,,II 132,,,,,https://www.britannica.com/topic/nutmeg,nutmeg,,,肉豆蔻,,肉豆蔻,,肉豆蔻,ròudòukòu,flesh-bean-cardamom,juk6 dau6 dau2 kau3 ,جوز الطيب,jawz al-ṭīb,fragrant nut,,szerecsendió,Saracen nut,\textit{muskátdió} [musk-nut]; \textit{mácisdió} [mace-nut],,,,,,,,,Semen Myristicae; Myristicae Semen,Nutmeg,肉豆蔻,,Astringent medicinal,pungent; warm,"Spleen, Stomach, Large intestine",,,
out,,yes,Nux Vomica,medicine,Dried ripe seed of Strychnos nux-vomica L. (Fam. Loganiacea),,,,,,https://powo.science.kew.org/taxon/547371-1,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,馬錢子,mǎqiánzǐ,maa5 cin4 zi2 ,,,,,,,,,,,,,,,,,Strychni Semen,,,,Blood-activating trauma-curing medicinal,bitter; warm; strongly toxic,"Liver, Spleen",,,
out,,yes,Peach Seed,medicine,Dried ripe seed of Prunus persica (L.) Batsch or Prunus davidiana (Carr.) Franch. (Fam. Rosaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,桃仁,táorén,tou4 jan4 ,,,,,,,,,,,,,,,,,Persicae Semen,,,,Blood-activating menstruation regulating medicinal,"sweet, bitter; neutral","Liver, Heart, Large intestine",,,
in,,yes,pepper,spice,Dried ripe fruit-spike of Piper nigrum L. (Fam. Piperaceae),Piper nigrum,L.,,,,https://powo.science.kew.org/taxon/682369-1,,http://www.theplantlist.org/tpl1.1/record/kew-2569664,,,,,,13216,Piperaceae,pepper; black pepper,,,,fruit,Malabar coast (South India),,14.0,76.0,van_wyk_culinary_2029,Asia,India,India,1,"Andaman Is., Assam, Bangladesh, Benin, Cambodia, Cameroon, Caroline Is., China South-Central, China Southeast, Comoros, Cook Is., Costa Rica, Cuba, Dominican Republic, East Himalaya, Ethiopia, French Guiana, Guinea, Gulf of Guinea Is., Haiti, Honduras, Laos, Leeward Is., Marianas, Mauritius, Mexico Gulf, Nicobar Is., Philippines, Puerto Rico, Réunion, Seychelles, Sri Lanka, Thailand, Trinidad-Tobago, Venezuela, Vietnam, Windward Is.",37,38.0,37.0,Vietnam; Brazil; Indonesia; India; Sri Lanka; etc.,black; white; green,,yes,polyu-tcm,,"pungent, hot",3-8,flavors; colds,pepper steak; poivrade sauce; Pfefferkuchen,,II 144,,,pepper; peppercorn; biber; pepperwort,Malabar coast; Sri Lanka?; black gold,https://www.britannica.com/plant/black-pepper-plant,pepper,black pepper,,"胡椒, 黑胡椒",,胡椒,,胡椒,hújiāo,barbarian-pepper,黑胡椒 \textit{hēihújiāo} [black-barbarian-pepper],فلفل,"filfil, fulful",,{فلفل أسود} \textit{fulful aswad} [black pepper],bors,pepper,\textit{fekete bors} [black pepper],,काली मिर्च,kaalii mirch,,सफेद काली मिर्च :D,lada; lada hitam; lada putih; merica,,,Fructus Piperis nigri/albi; Piperis Fructus,Pepper Fruit,胡椒,,Interior-warming medicinal,pungent; hot,"Stomach, Large intestine",,,
out,,,peppermint,herb,Dried aerial part of Mentha haplocalyx Briq (Fam. Labiatae),Mentha × piperita,,,,,,,,,,,,,,Lamiaceae,,,,,leaf; herb,cultigen (Britain),,,,polyu_chinese_2020,,,,1,,1,,,,,,yes,polyu-tcm,,,,,,,I 67,,,,,,,,,,,,,薄荷,bóhé,bok6 ho6 ,,,,,,,,,,,,,,,,,Menthae Herba,,,,Wind-heat dispersing medicinal,pungent; cool,"Liver, Lung",,,
out,,yes,Pomegranate Rind,medicine,Dried pericarp of Punica granatum L. (Fam. Punicaceae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,石榴皮,shílíupí,sek6 lau4 pei4 ,,,,,,,,,,,,,,,,,Granati Pericarpium,,,,Astringent medicinal,"sour, astringent; warm",Large intestine,,,
out,,yes,round cardamom,spice,Dried ripe fruit of Amomum kravanh Pierre ex Gagnep. or Amomum compactum Soland ex Maton (Fam. Zingiberaceae),Wurfbainia compacta,(Sol. ex Maton) Skornick. & A.D.Poulsen,Amomum compactum,Sol. ex Maton,,https://powo.science.kew.org/taxon/77178274-1,,,,,,,,,Zingiberaceae,,,,,fruit,Sumatra to W. Jawa,,,,polyu_chinese_2020,,,"Jawa, Sumatera",2,"China South-Central, Hainan, India, Lesser Sunda Is., Malaya",5,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,豆蔻,dòukòu,dau6 dau2 kau3 ,白豆蔻,,,,,,,,,,,,,,,,Fructus Amomi Rotundus; Amomi Rotundus Fructus,Round Cardamon Fruit,,,Dampness-resolving medicinal,pungent; warm,"Spleen, Lung, Stomach",,,
out,,yes,Safflower,medicine,Dried flower of Carthamus tinctorius L. (Fam. Compostiae),,,,,,,,,,,,,,,,,,,,,,,,,polyu_chinese_2020,,,,,,,,,,,,yes,polyu-tcm,,,,,,,,,,,,,,,,,,,,紅花,hónghuā,hung4 faa1 ,,,,,,,,,,,,,,,,,Carthami Flos,,,,Blood-activating menstruation regulating medicinal,pungent; warm,"Liver, Heart",,,
out,,yes,safflower,,,Carthamus tinctorius,,,,,,,,,,,,,,Asteraceae,safflower; false saffron; saffron thistle,,,,flower; fruit,N Afr; W As,,,,van_wyk_culinary_2014,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out,,yes,safflower,petals,,"color, no flavour",adulterant ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in,,yes,saffron,spice,,Crocus sativus,L.,,,,https://powo.science.kew.org/taxon/436688-1,,http://www.theplantlist.org/tpl1.1/record/kew-327454,,,,,,82528,Iridaceae,saffron,,,,stigma (style),Greece,,39.0,22.0,van_wyk_culinary_2017,Med.; W. Asia,Greece,Greece,1,"Czechoslovakia, Iran, Italy, Morocco, Pakistan, Spain, Turkey, West Himalaya",8,9.0,8.0,Iran; Spain; Kashmir; etc.,deep red; dyes in orange,,,,,"pungent, bitter",0,"bouillabaise, rice; fevers","paella, bouillabaisse, tagine",,II 164,,,,"Wyk: Med; W As, ..... Greece or Asia Minor",https://www.britannica.com/topic/saffron,saffron,,saffron crocus,番红花,,番红花,,藏紅花,zànghónghuā,Tibetan-red-flower,,زعفران,zaʿfarān,,,sáfrány,,,,केसर,kesar,"hair, mane",कुंकुम; जाफरान; सैफ्रन,kuma-kuma; safron,,,Stigmata Croci; Stylus Croci,Saffron,西紅花,1676,,,,藏紅花,Saffron,
